Episode,Mean Steps,Mean Rewards,Mean Q Sizes
1,406.3,-395.3,37.6
2,346.9,-335.9,70.1
3,331.3,-320.3,104.6
4,252.9,-241.9,133.1
5,280.6,-269.6,161.5
6,286.7,-275.7,191.8
7,349.4,-338.4,225.6
8,337.0,-326.0,260.6
9,287.7,-276.7,290.9
10,225.9,-214.9,319.1
11,259.5,-248.5,347.2
12,242.1,-231.1,375.8
13,209.6,-198.6,401.1
14,266.3,-255.3,431.3
15,319.9,-308.9,463.8
16,128.7,-117.7,483.6
17,162.3,-151.3,504.7
18,262.0,-251.0,534.8
19,227.2,-216.2,562.2
20,224.3,-213.3,587.3
21,321.2,-310.2,619.2
22,339.5,-328.5,651.4
23,194.4,-183.4,674.1
24,240.8,-229.8,702.5
25,268.5,-257.5,730.9
26,340.1,-329.1,765.2
27,202.9,-191.9,791.5
28,356.0,-345.0,824.8
29,271.6,-260.6,853.5
30,243.6,-232.6,883.4
31,204.6,-193.6,908.8
32,221.7,-210.7,934.3
33,170.3,-159.3,954.8
34,183.6,-172.6,980.6
35,160.2,-149.2,998.6
36,372.0,-361.0,1034.4
37,188.3,-177.3,1056.5
38,226.4,-215.4,1083.7
39,262.4,-251.4,1111.4
40,227.0,-216.0,1135.6
41,140.1,-129.1,1157.5
42,209.2,-198.2,1182.4
43,346.7,-335.7,1215.6
44,278.0,-267.0,1244.0
45,115.2,-104.2,1264.1
46,267.4,-256.4,1292.5
47,270.9,-259.9,1323.0
48,353.7,-342.7,1358.3
49,386.3,-375.3,1395.5
50,263.0,-252.0,1425.5
51,170.7,-159.7,1449.6
52,196.2,-185.2,1473.5
53,206.0,-195.0,1499.3
54,375.2,-364.2,1532.3
55,161.1,-150.1,1554.7
56,274.2,-263.2,1583.2
57,329.9,-318.9,1614.3
58,176.1,-165.1,1639.3
59,309.8,-298.8,1667.9
60,271.4,-260.4,1697.8
61,303.2,-292.2,1728.2
62,292.4,-281.4,1759.2
63,173.2,-162.2,1782.3
64,370.1,-359.1,1816.9
65,192.0,-181.0,1839.6
66,326.8,-315.8,1870.5
67,329.1,-318.1,1900.9
68,303.7,-292.7,1933.6
69,253.4,-242.4,1959.4
70,416.6,-405.6,1997.5
71,261.0,-250.0,2022.9
72,324.6,-313.6,2051.7
73,168.2,-157.2,2072.7
74,237.6,-226.6,2103.2
75,273.1,-262.1,2131.7
76,289.6,-278.6,2160.0
77,348.7,-337.7,2192.3
78,306.1,-295.1,2220.9
79,149.4,-138.4,2241.4
80,220.7,-209.7,2267.2
81,246.8,-235.8,2294.6
82,331.9,-320.9,2326.5
83,227.2,-216.2,2352.8
84,281.0,-270.0,2384.6
85,236.7,-225.7,2408.2
86,349.0,-338.0,2440.8
87,206.3,-195.3,2463.4
88,193.3,-182.3,2487.2
89,342.5,-331.5,2517.5
90,319.6,-308.6,2548.9
91,145.0,-134.0,2570.3
92,206.7,-195.7,2593.9
93,282.8,-271.8,2622.2
94,201.9,-190.9,2642.8
95,279.4,-268.4,2673.0
96,313.1,-302.1,2702.6
97,439.2,-428.2,2739.2
98,269.8,-258.8,2767.1
99,208.6,-197.6,2789.7
100,227.5,-216.5,2811.6
101,252.1,-241.1,2840.6
102,375.9,-364.9,2873.7
103,311.6,-300.6,2902.6
104,297.4,-286.4,2933.2
105,155.3,-144.3,2955.3
106,185.7,-174.7,2978.1
107,314.4,-303.4,3010.7
108,276.7,-265.7,3038.4
109,322.8,-311.8,3069.8
110,401.8,-390.8,3104.1
111,203.1,-192.1,3130.7
112,374.6,-363.6,3167.5
113,245.0,-234.0,3195.7
114,224.0,-213.0,3222.2
115,141.5,-130.5,3242.2
116,167.4,-156.4,3263.5
117,293.0,-282.0,3291.3
118,227.9,-216.9,3316.3
119,278.9,-267.9,3346.3
120,179.6,-168.6,3368.7
121,252.1,-241.1,3395.4
122,339.7,-328.7,3429.2
123,294.9,-283.9,3460.8
124,176.4,-165.4,3483.7
125,244.4,-233.4,3513.4
126,299.1,-288.1,3543.3
127,231.2,-220.2,3569.5
128,175.5,-164.5,3592.3
129,230.8,-219.8,3616.9
130,297.3,-286.3,3647.1
131,177.7,-166.7,3668.2
132,220.5,-209.5,3694.5
133,212.3,-201.3,3718.7
134,199.7,-188.7,3740.4
135,238.3,-227.3,3764.8
136,225.8,-214.8,3792.3
137,316.9,-305.9,3825.4
138,350.9,-339.9,3856.8
139,200.4,-189.4,3882.8
140,232.3,-221.3,3908.7
141,204.6,-193.6,3932.1
142,346.6,-335.6,3962.9
143,378.3,-367.3,3999.0
144,326.0,-315.0,4029.9
145,389.2,-378.2,4065.6
146,298.8,-287.8,4095.2
147,258.7,-247.7,4123.7
148,177.7,-166.7,4147.8
149,277.4,-266.4,4178.4
150,371.2,-360.2,4214.2
151,342.0,-331.0,4246.0
152,317.6,-306.6,4277.2
153,293.6,-282.6,4306.8
154,282.5,-271.5,4335.3
155,283.7,-272.7,4365.7
156,276.2,-265.2,4395.3
157,345.6,-334.6,4424.3
158,300.6,-289.6,4454.9
159,312.3,-301.3,4486.9
160,156.6,-145.6,4505.7
161,314.2,-303.2,4534.0
162,305.9,-294.9,4566.7
163,358.8,-347.8,4599.7
164,310.5,-299.5,4630.8
165,381.5,-370.5,4666.1
166,248.2,-237.2,4694.9
167,249.7,-238.7,4720.4
168,310.1,-299.1,4749.1
169,152.6,-141.6,4770.8
170,295.1,-284.1,4800.8
171,263.1,-252.1,4826.8
172,288.3,-277.3,4855.9
173,439.3,-428.3,4895.7
174,203.4,-192.4,4920.4
175,282.4,-271.4,4950.1
176,357.8,-346.8,4982.2
177,154.0,-143.0,5004.2
178,249.8,-238.8,5034.4
179,391.1,-380.1,5071.3
180,410.6,-399.6,5103.4
181,89.4,-78.4,5117.4
182,284.1,-273.1,5147.0
183,407.3,-396.3,5183.9
184,174.3,-163.3,5206.2
185,272.6,-261.6,5235.2
186,271.6,-260.6,5262.8
187,219.8,-208.8,5286.2
188,246.4,-235.4,5314.6
189,312.3,-301.3,5344.0
190,417.6,-406.6,5379.4
191,309.6,-298.6,5410.7
192,280.4,-269.4,5439.3
193,223.3,-212.3,5466.3
194,210.4,-199.4,5492.4
195,383.3,-372.3,5526.8
196,219.9,-208.9,5550.9
197,301.4,-290.4,5583.7
198,244.2,-233.2,5611.4
199,308.5,-297.5,5641.1
200,174.6,-163.6,5664.5
201,242.4,-231.4,5690.1
202,244.5,-233.5,5716.5
203,234.3,-223.3,5743.3
204,160.3,-149.3,5766.7
205,170.2,-159.2,5788.4
206,185.4,-174.4,5812.0
207,279.5,-268.5,5840.3
208,275.0,-264.0,5865.1
209,277.6,-266.6,5894.3
210,191.5,-180.5,5917.6
211,240.5,-229.5,5941.9
212,219.1,-208.1,5967.4
213,144.3,-133.3,5988.8
214,285.8,-274.8,6015.9
215,223.9,-212.9,6041.8
216,277.0,-266.0,6070.8
217,319.2,-308.2,6100.2
218,336.6,-325.6,6132.8
219,215.6,-204.6,6157.1
220,224.7,-213.7,6184.4
221,178.7,-167.7,6206.0
222,312.3,-301.3,6237.3
223,216.4,-205.4,6261.6
224,168.0,-157.0,6285.5
225,181.2,-170.2,6308.2
226,180.9,-169.9,6327.8
227,282.4,-271.4,6358.6
228,158.3,-147.3,6381.1
229,277.2,-266.2,6409.5
230,419.3,-408.3,6446.9
231,377.0,-366.0,6480.3
232,281.2,-270.2,6507.0
233,286.9,-275.9,6536.8
234,358.7,-347.7,6570.3
235,216.6,-205.6,6595.5
236,343.8,-332.8,6628.8
237,398.1,-387.1,6666.2
238,263.9,-252.9,6693.0
239,305.0,-294.0,6724.2
240,232.2,-221.2,6749.9
241,318.1,-307.1,6781.2
242,439.5,-428.5,6819.0
243,237.9,-226.9,6847.6
244,155.0,-144.0,6867.3
245,176.7,-165.7,6888.3
246,207.8,-196.8,6912.1
247,318.1,-307.1,6944.1
248,260.3,-249.3,6970.8
249,256.5,-245.5,6997.9
250,299.6,-288.6,7024.7
251,159.4,-148.4,7047.2
252,262.7,-251.7,7076.4
253,245.7,-234.7,7103.7
254,418.6,-407.6,7140.6
255,409.7,-398.7,7175.3
256,233.8,-222.8,7201.6
257,241.0,-230.0,7229.3
258,307.7,-296.7,7259.1
259,366.3,-355.3,7292.3
260,451.4,-440.4,7330.8
261,305.6,-294.6,7361.8
262,266.5,-255.5,7392.7
263,202.3,-191.3,7417.6
264,381.6,-370.6,7452.1
265,288.9,-277.9,7483.0
266,282.9,-271.9,7509.4
267,187.4,-176.4,7532.1
268,260.2,-249.2,7560.7
269,388.4,-377.4,7595.7
270,220.6,-209.6,7620.3
271,223.2,-212.2,7643.8
272,146.8,-135.8,7664.1
273,221.5,-210.5,7690.4
274,204.5,-193.5,7717.0
275,253.1,-242.1,7744.9
276,278.4,-267.4,7771.7
277,329.0,-318.0,7805.0
278,199.1,-188.1,7831.6
279,230.4,-219.4,7858.4
280,357.7,-346.7,7891.8
281,296.0,-285.0,7918.4
282,312.6,-301.6,7948.6
283,313.7,-302.7,7980.7
284,333.2,-322.2,8012.5
285,339.3,-328.3,8046.4
286,158.7,-147.7,8070.0
287,300.1,-289.1,8102.4
288,345.0,-334.0,8133.6
289,380.0,-369.0,8168.5
290,236.5,-225.5,8192.1
291,280.9,-269.9,8219.2
292,266.7,-255.7,8248.6
293,269.1,-258.1,8279.8
294,214.1,-203.1,8305.4
295,223.0,-212.0,8330.6
296,313.3,-302.3,8359.8
297,282.0,-271.0,8389.5
298,242.4,-231.4,8417.3
299,168.0,-157.0,8436.8
300,249.9,-238.9,8462.6
301,267.4,-256.4,8489.8
302,267.6,-256.6,8515.9
303,238.9,-227.9,8541.2
304,239.6,-228.6,8568.2
305,171.8,-160.8,8593.0
306,288.2,-277.2,8621.0
307,293.1,-282.1,8651.4
308,256.0,-245.0,8680.2
309,155.8,-144.8,8699.7
310,209.4,-198.4,8724.2
311,432.9,-421.9,8762.2
312,245.1,-234.1,8788.6
313,276.8,-265.8,8818.0
314,266.0,-255.0,8849.2
315,162.3,-151.3,8874.2
316,210.1,-199.1,8899.2
317,224.4,-213.4,8927.6
318,168.5,-157.5,8949.4
319,216.1,-205.1,8972.5
320,301.2,-290.2,9002.3
321,223.3,-212.3,9029.4
322,194.9,-183.9,9055.0
323,362.6,-351.6,9089.2
324,390.9,-379.9,9124.0
325,439.2,-428.2,9158.8
326,303.9,-292.9,9189.0
327,250.7,-239.7,9217.6
328,240.1,-229.1,9244.0
329,322.3,-311.3,9274.5
330,395.2,-384.2,9308.4
331,267.5,-256.5,9335.6
332,309.1,-298.1,9367.4
333,253.9,-242.9,9392.6
334,333.8,-322.8,9423.6
335,331.4,-320.4,9456.0
336,223.7,-212.7,9481.2
337,316.4,-305.4,9514.9
338,393.7,-382.7,9547.8
339,293.2,-282.2,9578.2
340,322.6,-311.6,9607.3
341,346.1,-335.1,9635.5
342,226.3,-215.3,9661.1
343,300.5,-289.5,9690.6
344,396.8,-385.8,9725.5
345,259.9,-248.9,9753.6
346,269.0,-258.0,9782.4
347,175.9,-164.9,9805.6
348,292.0,-281.0,9834.2
349,201.6,-190.6,9859.9
350,338.2,-327.2,9893.9
351,143.9,-132.9,9915.4
352,349.5,-338.5,9948.2
353,376.7,-365.7,9981.8
354,184.4,-173.4,10004.9
355,296.9,-285.9,10034.9
356,184.6,-173.6,10057.8
357,318.2,-307.2,10089.7
358,281.5,-270.5,10119.1
359,304.7,-293.7,10148.0
360,333.3,-322.3,10181.5
361,176.2,-165.2,10205.2
362,262.1,-251.1,10233.9
363,327.6,-316.6,10267.3
364,404.2,-393.2,10302.1
365,264.9,-253.9,10330.8
366,261.5,-250.5,10359.2
367,249.5,-238.5,10384.9
368,227.5,-216.5,10408.6
369,305.5,-294.5,10439.9
370,291.3,-280.3,10469.4
371,228.8,-217.8,10494.3
372,410.2,-399.2,10529.8
373,279.9,-268.9,10557.4
374,214.6,-203.6,10581.2
375,195.1,-184.1,10606.5
376,326.3,-315.3,10638.1
377,325.6,-314.6,10671.2
378,347.0,-336.0,10703.2
379,264.5,-253.5,10731.7
380,182.1,-171.1,10754.8
381,281.4,-270.4,10782.0
382,283.6,-272.6,10811.0
383,271.7,-260.7,10838.6
384,270.3,-259.3,10869.5
385,248.3,-237.3,10897.4
386,230.6,-219.6,10924.0
387,201.9,-190.9,10947.5
388,245.6,-234.6,10975.8
389,237.9,-226.9,11002.0
390,261.9,-250.9,11029.7
391,246.3,-235.3,11057.4
392,340.9,-329.9,11088.6
393,241.1,-230.1,11117.3
394,274.3,-263.3,11143.4
395,332.0,-321.0,11175.2
396,355.1,-344.1,11208.3
397,473.9,-462.9,11248.7
398,242.1,-231.1,11277.0
399,240.1,-229.1,11302.5
400,259.4,-248.4,11331.3
401,445.0,-434.0,11368.6
402,266.3,-255.3,11396.4
403,296.3,-285.3,11428.0
404,121.2,-110.2,11448.1
405,296.4,-285.4,11474.1
406,377.6,-366.6,11508.3
407,286.1,-275.1,11538.0
408,374.2,-363.2,11572.3
409,297.0,-286.0,11601.6
410,303.5,-292.5,11632.2
411,258.7,-247.7,11660.0
412,259.8,-248.8,11687.6
413,356.3,-345.3,11720.5
414,318.7,-307.7,11751.0
415,308.8,-297.8,11780.2
416,248.1,-237.1,11810.2
417,259.7,-248.7,11836.7
418,238.7,-227.7,11864.5
419,239.5,-228.5,11888.6
420,278.7,-267.7,11915.5
421,254.4,-243.4,11943.0
422,294.7,-283.7,11972.8
423,300.0,-289.0,12004.1
424,255.4,-244.4,12027.3
425,218.8,-207.8,12052.4
426,248.2,-237.2,12081.6
427,350.8,-339.8,12112.0
